id,word_id,reviewed_at,prompt_type,correct,in_session_retry,practice
33,6c6777c5-0692-444b-a364-ac58f17192a0,2026-09-11T06:21:55Z,learn,true,false,false
34,01249a72-6208-4ad4-8085-dfc7be789882,2026-09-11T06:21:55Z,learn,true,false,false
35,31a34ed8-0b39-4881-9385-13e41e66b10c,2026-09-11T06:21:55Z,learn,true,false,false
36,fc5d9cd5-5672-4561-b8b4-776d404a1d94,2026-09-11T06:21:55Z,learn,true,false,false
37,51340b87-1742-4521-9bc1-827b9a8bc6b1,2026-09-11T06:21:55Z,learn,true,false,false
38,6c6777c5-0692-444b-a364-ac58f17192a0,2026-09-11T06:22:08Z,s2r,true,false,false
39,01249a72-6208-4ad4-8085-dfc7be789882,2026-09-11T06:22:08Z,s2r,true,false,false
40,31a34ed8-0b39-4881-9385-13e41e66b10c,2026-09-11T06:22:08Z,s2r,true,false,false
41,fc5d9cd5-5672-4561-b8b4-776d404a1d94,2026-09-11T06:22:08Z,s2r,true,false,false
42,51340b87-1742-4521-9bc1-827b9a8bc6b1,2026-09-11T06:22:08Z,s2r,true,false,false
43,164a8f26-7214-4187-9136-c071e3aec858,2026-09-11T06:22:16Z,learn,true,false,false
44,c6d71459-0bcc-4cc8-b809-9871c30c1895,2026-09-11T06:22:16Z,learn,true,false,false
45,8c041ca5-79ad-4d6a-b1d1-f683bfd37ad3,2026-09-11T06:22:16Z,learn,true,false,false
46,6e9aabaa-5091-4e58-b439-937788898e73,2026-09-11T06:22:16Z,learn,true,false,false
47,b0d7fee1-5895-472b-93b1-e4a978fedc2b,2026-09-11T06:22:16Z,learn,true,false,false
48,164a8f26-7214-4187-9136-c071e3aec858,2026-09-11T06:22:30Z,s2r,true,false,false
49,c6d71459-0bcc-4cc8-b809-9871c30c1895,2026-09-11T06:22:30Z,s2r,false,false,false
50,8c041ca5-79ad-4d6a-b1d1-f683bfd37ad3,2026-09-11T06:22:30Z,s2m,true,false,false
51,6e9aabaa-5091-4e58-b439-937788898e73,2026-09-11T06:22:30Z,s2r,true,false,false
52,b0d7fee1-5895-472b-93b1-e4a978fedc2b,2026-09-11T06:22:30Z,s2r,true,false,false
53,f56ad1d4-60e8-47cf-b876-bb3b27842d02,2026-09-11T06:22:50Z,learn,true,false,false
54,c73994f8-2e6e-4210-bc42-067dae816019,2026-09-11T06:22:50Z,learn,true,false,false
55,c6d71459-0bcc-4cc8-b809-9871c30c1895,2026-09-11T06:22:50Z,s2r,true,true,false
56,cdb5efb2-8f47-4fad-9d9a-e2f0fd9dbafc,2026-09-11T06:22:50Z,learn,true,false,false
57,853da365-46f3-4530-baa0-69a4d57d3d89,2026-09-11T06:22:50Z,learn,true,false,false
58,29ef3554-de71-45f9-89d2-fac8ee9ad6f5,2026-09-11T06:23:02Z,learn,true,false,false
59,f56ad1d4-60e8-47cf-b876-bb3b27842d02,2026-09-11T06:23:02Z,s2r,true,false,false
60,c73994f8-2e6e-4210-bc42-067dae816019,2026-09-11T06:23:02Z,s2r,true,false,false
61,cdb5efb2-8f47-4fad-9d9a-e2f0fd9dbafc,2026-09-11T06:23:02Z,s2r,true,false,false
62,853da365-46f3-4530-baa0-69a4d57d3d89,2026-09-11T06:23:02Z,s2r,true,false,false
63,29ef3554-de71-45f9-89d2-fac8ee9ad6f5,2026-09-11T06:23:13Z,s2r,true,false,false
64,d2003e7c-6e21-4024-9f46-e058ffe7b455,2026-09-11T06:23:13Z,learn,true,false,false
65,14a315fc-a9a6-4dd5-9402-6635576d9065,2026-09-11T06:23:13Z,learn,true,false,false
66,a8acc782-976d-4dbd-a5c0-897e4a34b0c3,2026-09-11T06:23:13Z,learn,true,false,false
67,cb6f6f56-4598-414d-82ba-e4a7fe28cdf0,2026-09-11T06:23:13Z,learn,true,false,false
